id	sell	num_orders	num_items	grand_total	site_domain	site_published	has_blog	has_shoutout	has_get_subscribers	site_pages	facebook_url	facebook_likes	instagram_url	instagram_followers	has_about_page	has_contact_page	has_faq_page	has_blog_page	has_products_page	has_shipping_policy	has_return_policy	has_payment_methods	has_clear_banner	has_clear_cta
087064ef-0215-43be-909a-d99ac2ed5fa0	1	17	18	1198	1	0	1	1	0	0	1	13551	1	1551	0	0	0	0	0	1	0	0	0	0
08848202-3ff3-4eaa-9904-236adaaf2af1	1	7	10	360	1	1	0	0	0	36	1	118	0	0	0	1	0	0	1	1	1	1	0	0
0887e47a-64a9-4188-95cf-17fff7d8c59a	1	18	18	112	1	1	0	0	0	5	1	52	1	413	0	1	0	0	1	0	0	0	0	0
088f4436-dcc8-4e1d-9457-3d0ce00bedc6	1	8	11	50	1	1	1	1	1	18	0	0	0	0	1	1	0	1	1	1	1	0	0	0
08af890b-5939-4f2c-b2cd-c5ba8233cd11	1	7	12	19	1	1	1	1	1	15	1	213	1	554	0	1	0	0	1	0	0	0	0	0
08bbfecd-cfbe-4232-8898-6c4b9bf09d48	1	9	10	68	1	1	1	0	0	28	1	1087	1	1245	1	1	0	1	1	1	1	1	0	1
08beb25d-8940-494c-99f4-9ab100d8bb5a	1	8	8	37	1	1	1	1	1	7	0	0	0	0	1	1	0	0	1	0	1	0	0	1
08d17c79-c299-4db9-bdec-4965bfff2553	1	25	50	92	1	1	1	1	0	11	0	0	1	282	1	1	0	1	1	1	1	0	0	0
08dab780-8e49-4993-9871-2cb7fcbd37b5	1	262	492	1294	1	1	1	1	1	29	1	4105	1	45	1	1	0	1	1	1	1	1	0	0
08f0d50f-e723-45bf-a9d4-82b71cbbc13a	1	51	150	650	1	1	0	0	0	16	1	232	1	2	0	1	0	0	1	0	1	1	0	0
08fc2613-5859-42cd-a4ca-8d4190eca434	1	22	22	134	1	1	0	1	0	45	1	1006	1	113	0	1	0	0	1	0	1	0	0	0
09051109-97d9-4a27-af11-8985f994973f	1	7	8	12	1	1	1	1	1	11	1	280	1	190	0	1	0	1	1	0	0	0	0	0
0930f2e6-caeb-4a90-92aa-a38bd8640e27	1	25	29	701	1	1	0	1	1	17	1	161	0	48	1	1	0	0	1	1	1	1	0	0
09439fb8-e67c-4da8-bc1a-b76c2d6e0f99	1	27	47	156	1	1	1	1	0	16	0	0	1	1503	1	1	0	1	1	0	0	0	0	0
094612b8-856e-401a-8352-e1bc20e641b6	1	26	26	95	1	1	0	1	0	5	1	419	1	190	0	0	0	0	1	1	1	0	0	0
09477e5e-a6fa-4ab6-83e0-5cdb2b542e98	1	12	15	37	1	1	1	1	0	12	1	123	1	7969	1	1	0	0	1	0	1	0	0	1
0957af1c-a54b-49e4-abb9-a8900c6ed828	1	8	9	128	1	1	1	1	1	27	1	413	1	158	1	1	0	1	1	1	1	1	0	0
09653742-2f86-4577-b81e-28bf68e13c73	1	25	25	68	1	1	1	1	1	14	1	1822	1	1578	0	1	0	1	1	0	1	1	0	0
098cb0bb-5eb5-4fe0-ad26-10f304a23dfe	1	20	32	48	1	1	1	1	0	14	0	0	1	1067	1	1	0	1	1	1	1	0	0	0
0998e209-6d95-40b1-8b22-02f08906a272	1	10	10	114	1	1	0	1	0	16	1	169	1	1773	0	1	0	0	1	0	0	0	0	0
09a85984-bd39-4bcd-88ff-c7b2de1c110e	1	15	32	51	1	1	1	1	1	16	0	0	1	1041	1	1	1	1	1	0	1	0	0	0
09cc43cc-9180-4699-af27-4ecd5f0d8e85	1	47	79	152	1	1	1	1	0	20	0	0	1	2310	0	1	0	1	1	0	0	0	0	0
09d744ae-cf59-4e5f-8e62-1c977e138232	1	18	42	119	1	1	1	1	1	11	0	0	0	0	0	1	0	1	1	1	0	1	0	0
09fd4996-18ae-4f8b-a7c3-8cc67f0e7486	1	24	24	58	1	1	1	1	0	13	0	0	0	0	0	1	0	1	1	0	1	1	0	0
09fda619-3b6a-468d-80ce-380761a981ab	1	21	47	95	1	1	1	1	0	16	1	1620	1	426	1	1	0	1	1	1	1	1	0	0
09fee77f-69f7-4959-8623-bfaec328bd0c	1	22	22	182	1	1	0	1	1	13	1	183	1	186	1	1	0	0	1	1	1	0	0	1
0a2c234e-9322-4ec5-8e27-f0f3358bf02c	1	43	45	763	1	1	1	1	1	22	0	0	0	0	1	1	1	0	1	0	1	1	0	0
0a3a922f-55a7-4634-a1bb-3069e5b2ad56	1	8	8	103	1	1	0	1	0	7	1	1342	1	558	0	1	0	0	1	0	1	0	0	0
0a3f9fad-2fcd-47aa-b687-70d4cb805e81	1	16	22	163	1	1	1	1	1	17	1	123	1	1002	1	1	0	1	1	1	1	1	0	1
0a617de2-022e-4932-bf18-b617699dbc3f	1	15	15	85	1	1	1	0	1	9	1	2407	0	0	1	1	1	0	1	1	1	0	0	0
0a62596e-a32f-41e9-846a-1cc8b2dbabf6	1	39	48	69	1	1	1	1	0	10	0	0	0	0	0	1	1	1	1	1	1	1	0	0
0a6e30d7-5214-4d9f-a721-3c35ee925209	1	16	20	78	1	1	0	1	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0a7a75d9-b4d6-474b-80c0-bbafe2d31bdd	1	9	9	765	1	1	0	1	0	22	1	88	0	0	1	1	0	0	1	0	1	1	0	0
0a7ebe01-cb91-4255-9c69-ea2c4aa36cd9	1	231	452	1345	0	1	1	1	0	25	0	0	1	2906	1	1	1	1	1	1	1	0	0	1
0a818e15-0f31-4789-89d8-2e96cf24d72d	1	23	90	322	1	1	0	1	0	12	1	213	0	0	1	1	0	0	1	0	1	1	0	0
0a83b066-dfa9-4209-a647-097f40598f2a	1	6	6	24	1	1	1	1	1	15	1	427	0	0	1	1	1	1	1	1	1	0	0	0
0a945a42-e3ab-4d1b-9610-c9b6d2b4ab32	1	100	127	551	1	1	0	1	0	25	1	3856	1	20857	1	1	0	0	1	1	1	0	0	0
0a9743b8-cb19-47f9-9420-fbdbdc72f6a9	1	6	9	90	1	1	0	1	0	47	1	5200	1	94	1	1	0	0	1	1	1	1	0	0
0a9939f5-6091-4fd7-ba46-d642250222f2	1	19	34	46	1	1	1	1	0	11	0	0	1	913	1	1	0	1	1	0	0	0	0	0
0aa05963-f8d7-4d9a-895b-4a3c1d201bc8	1	191	191	3519	1	1	1	1	1	9	0	0	1	26746	0	1	0	1	1	0	0	0	0	0
0aad574e-eb55-4e45-afb2-618f99798f47	1	25	43	96	1	1	1	1	1	16	1	622	0	0	0	1	0	1	1	1	1	0	0	0
0ab2c5f5-c667-42ec-9c65-c7c44c5fefd2	1	6	6	32	1	1	0	0	0	11	1	806	0	0	1	1	0	0	1	0	1	1	0	0
0abfc2f6-4f41-4c03-8cf1-66190394e529	1	74	291	1374	1	1	0	1	0	8	0	0	0	0	0	1	0	0	1	0	1	1	0	0
0b0854de-17e6-4626-9a0b-5448c47f48df	1	762	941	780	1	1	0	1	0	7	1	24	1	1476	0	1	0	0	1	0	0	0	0	0
0b16a475-305d-4b30-ad23-ebaa9877a168	1	17	22	2232	1	1	0	1	1	77	1	47547	1	13425	0	1	0	0	1	0	0	0	0	0
0b213acd-557b-4c07-96a4-dc037bb641e5	1	160	853	1684	1	1	0	1	1	13	0	0	1	14867	1	1	1	0	1	0	0	0	0	0
0b3f013f-23cb-402f-96b1-17a7f08c9f41	1	257	506	2806	1	1	0	1	1	15	1	675	1	6207	0	1	1	0	1	1	1	0	0	0
0b57b416-5ad7-4048-b62e-8bb8c1ab145e	1	10	13	43	1	1	1	1	1	10	0	0	1	725	0	1	0	1	1	0	0	0	0	1
0b5b759f-4949-4f9a-89fd-c7d299c8a617	1	20	23	46	1	1	0	1	0	13	0	0	0	0	1	1	0	0	1	0	1	0	0	0
0b606dee-3ff5-4cbb-ab10-21b431c70cf2	1	8	16	66	1	1	0	1	1	12	1	441	1	327	1	1	0	0	1	1	1	0	0	0
0b86f560-147c-4280-8f7d-9fb2259f422a	1	67	69	195	1	1	0	1	0	6	1	142	0	0	0	0	0	0	1	0	0	0	0	0
